(1-(2-(3-40))) -38/1
(1-((2-3)-40)) 42/1
((1-2)-(3-40)) 36/1
((1-(2-3))-40) -38/1
(((1-2)-3)-40) -44/1
(1*(2-(3-40))) 39/1
(1*((2-3)-40)) -41/1
((1*2)-(3-40)) 39/1
((1*(2-3))-40) -41/1
(((1*2)-3)-40) -41/1
(1/(2-(3-40))) 1/39
(1/((2-3)-40)) -1/41
((1/2)-(3-40)) 75/2
((1/(2-3))-40) -41/1
(((1/2)-3)-40) -85/2
(1+(2*(3-40))) -73/1
(1+((2*3)-40)) -33/1
((1+2)*(3-40)) -111/1
((1+(2*3))-40) -33/1
(((1+2)*3)-40) -31/1
(1-(2*(3-40))) 75/1
(1-((2*3)-40)) 35/1
((1-2)*(3-40)) 37/1
((1-(2*3))-40) -45/1
(((1-2)*3)-40) -43/1
(1*(2*(3-40))) -74/1
(1*((2*3)-40)) -34/1
((1*2)*(3-40)) -74/1
((1*(2*3))-40) -34/1
(((1*2)*3)-40) -34/1
(1/(2*(3-40))) -1/74
(1/((2*3)-40)) -1/34
((1/2)*(3-40)) -37/2
((1/(2*3))-40) -239/6
(((1/2)*3)-40) -77/2
(1+(2/(3-40))) 35/37
(1+((2/3)-40)) -115/3
((1+2)/(3-40)) -3/37
((1+(2/3))-40) -115/3
(((1+2)/3)-40) -39/1
(1-(2/(3-40))) 39/37
(1-((2/3)-40)) 121/3
((1-2)/(3-40)) 1/37
((1-(2/3))-40) -119/3
(((1-2)/3)-40) -121/3
(1*(2/(3-40))) -2/37
(1*((2/3)-40)) -118/3
((1*2)/(3-40)) -2/37
((1*(2/3))-40) -118/3
(((1*2)/3)-40) -118/3
(1/(2/(3-40))) -37/2
(1/((2/3)-40)) -3/118
((1/2)/(3-40)) -1/74
((1/(2/3))-40) -77/2
(((1/2)/3)-40) -239/6
(1+(2+(3*40))) 123/1
(1+((2+3)*40)) 201/1
((1+2)+(3*40)) 123/1
((1+(2+3))*40) 240/1
(((1+2)+3)*40) 240/1
(1-(2+(3*40))) -121/1
(1-((2+3)*40)) -199/1
((1-2)+(3*40)) 119/1
((1-(2+3))*40) -160/1
(((1-2)+3)*40) 80/1
(1*(2+(3*40))) 122/1
(1*((2+3)*40)) 200/1
((1*2)+(3*40)) 122/1
((1*(2+3))*40) 200/1
(((1*2)+3)*40) 200/1
(1/(2+(3*40))) 1/122
(1/((2+3)*40)) 1/200
((1/2)+(3*40)) 241/2
